Old URL,Page Type,Title,H1,Suggested Redirect,Status,Notes
https://psmphuket.com/property-feature/elevator/page/3,archive,Elevator - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-status/for-rent/page/6,archive,For Rent - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/next-to-busy-way/page/2,archive,Next to busy way - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-status/for-sale/page/9,archive,For Sale - Phuket Property Service - Page 9,,/properties,200,
https://psmphuket.com/property-feature/living-room/page/3,archive,Living room - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/garden/page/8,archive,Garden - Phuket Property Service - Page 8,,/properties,200,
https://psmphuket.com/property-feature/sea-view/page/2,archive,Sea View - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/sea-view/page/5,archive,Sea View - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-feature/living-room/page/2,archive,Living room - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/balcony/page/11,archive,Balcony - Phuket Property Service - Page 11,,/properties,200,
https://psmphuket.com/contact,contact,Contact - Phuket Property Service,,/contact,200,
https://psmphuket.com,homepage,Home - Phuket Property Service,,/,200,
https://psmphuket.com/,homepage,Home - Phuket Property Service,,/,200,
https://psmphuket.com/gallery-2-columns,page,Gallery properties - Phuket Property Service,,/properties,200,
https://psmphuket.com/compare-properties,page,Compare Properties - Phuket Property Service,,/properties,200,
https://psmphuket.com/news,page,News - Phuket Property Service,News,/properties,200,
https://psmphuket.com/gallery-2-columns/page/4,page,Gallery properties - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/page/16,page,Home - Phuket Property Service - Page 16,,/properties,200,
https://psmphuket.com/our-agents,page,Our Agents - Phuket Property Service,,/properties,200,
https://psmphuket.com/gallery-2-columns/page/7,page,Gallery properties - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/gallery-2-columns/page/6,page,Gallery properties - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/page/3,page,Home - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/gallery-2-columns/page/5,page,Gallery properties - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/gallery-2-columns/page/3,page,Gallery properties - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/page/62,page,Home - Phuket Property Service - Page 62,,/properties,200,
https://psmphuket.com/page/6,page,Home - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/page/59,page,Home - Phuket Property Service - Page 59,,/properties,200,
https://psmphuket.com/page/14,page,Home - Phuket Property Service - Page 14,,/properties,200,
https://psmphuket.com/gallery-2-columns/page/10,page,Gallery properties - Phuket Property Service - Page 10,,/properties,200,
https://psmphuket.com/page/61,page,Home - Phuket Property Service - Page 61,,/properties,200,
https://psmphuket.com/page/4,page,Home - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/gallery-2-columns/page/2,page,Gallery properties - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/page/56,page,Home - Phuket Property Service - Page 56,,/properties,200,
https://psmphuket.com/page/15,page,Home - Phuket Property Service - Page 15,,/properties,200,
https://psmphuket.com/properties-search,page,Properties Search - Phuket Property Service,,/properties,200,
https://psmphuket.com/gallery-2-columns/page/8,page,Gallery properties - Phuket Property Service - Page 8,,/properties,200,
https://psmphuket.com/properties-search/page/4,page,Properties Search - Phuket Property Service - Page 4,,/properties,200,
